cod,economy,region,incomegroup,dbyear,startbuscapital,investorsdisclosure,investorsliability,investorssuitsOld,investorstransparency,investorsrights,investorsownership,investorssuits,investorsProtectingInv,investorsProtectingMinInves,closinglegal,closing_SI_Commencement,closing_SI_ManagementAssets,closing_SI_Reorganization,closing_SI_CreditorParticipate,startbusprocedures,startbustime,startbuscost,startbusproceduresW,startbustimeW,startbuscostW,permitprocedures,permittime,permitcostWhV,permitsLegalindex,permits_SI_Buildregulation,permits_SI_Beforeconstr,permits_SI_Duringconst,permits_SI_Afterconst,permits_SI_Liability,permits_SI_Certifications,electricityprocedures,electricitytime,electricitycost,electricitySAIDISAIFIscore,electricityPriceperkWhUSD,electricitySaidiSaifiPoints,electricitySaidiIndex,electricitySaifiIndex,electricityMinimumOutage,electricityOutagemoniscore,electricityOutagerestoscore,electricityRegulatormoniscore,electricityCompensationscore,electricityTransparencyscore,registerprocedures,registertime,registercost,registerLegalindexGener,registerReliabilityInfrast,registerTransparency,registerCoverage,registerLegalBackground,registerWEBEqualAccess,creditrights,creditrights_new,creditinformation6pnt,creditinformation6pnt5pr,creditinformation8pnt5pr,creditinformationCoverPublic,creditinformationCoverPrivate,tradeprocedures,tradeXtimedocs,tradeMtimedocs,tradeXtimeborder,tradeMtimeborder,tradeXcostdocs,tradeMcostdocs,tradeXcostborder,tradeMcostborder,tradingexportdocs,tradingimportdocs,tradingexportcost,tradingexportcost_def,tradingexporttime,tradingimportcost,tradingimportcost_def,tradingimporttime,contracts_filing_days,contracts_trial_days,contracts_enforcement_days,contracts_attorney_fee,contracts_court_fee,contracts_enforcement_fee,contractsproceduresBunus,contractstime,contractscost,contractsLegalindexGender,contracts_SI_CourtStructureGen,contracts_SI_CaseManagement,contracts_SI_CourtAutomation,contracts_SI_ADR,closingtime_web,closingtime,closingrecovery,closingcostpercentage,closingOutcome,taxesTimeComplyVATrefund,taxesTimeObtainVATrefund,taxesTimeComplyCITaudit,taxesTimeCompleteCITaudit,taxespayments,taxestime,taxestotal,taxesTTRprofit,taxesTTRlabor,taxesTTROther
AFG,Afghanistan,South Asia,Low income,2014,0,1,1,1,0,0,0,3,3,5,3,2,0,0,1,4,6,14.3545036603905,5,7,14.3545036603905,13,354,66.9097347882683,,,,,,,,6,114,2368.53257845476,,,,,,,,,,,,9,250,5,,,,,,,7,9,,0,0,0,0,,,,,,,,,,10,10,4645,4820.34486480204,81,5180,5375.54066731422,85,40,1420,182,24.0004901152718,5,0,46,1642,29,,,,,,2,2,26.4650283553875,25,0,,,,,19,275,35.56754374646573,0,0,35.5675437464657
AFG,Afghanistan,South Asia,Low income,2015,0,1,1,,0,0,0,3,,5,3,2,0,0,1,4,8,15.115542930505,5,9,15.115542930505,13,199,59.4451680014672,2.5,.5,1,0,0,1,0,6,114,2083.95257863965,0,.23254704990768,0,615,250,N/A,1,0,1,0,0,9,250,5,,,,,,,,9,,,0,0,0,12,242.666666666667,336,48,96,344.444444444444,900,511.111111111111,850,10,10,5045,5045,86,5680,5680,91,40,1420,182,24.0004901152718,5,0,46,1642,29,,,,,,2,2,26.4287051407217,25,0,,,,,19,275,36.07934770161095,0,0,36.0793477016109
AFG,Afghanistan,South Asia,Low income,2016,0,1,1,,0,0,0,3,,5,3,2,0,0,1,4,8,18.9749224331563,5,9,18.9749224331563,13,199,61.184371514795,2.5,.5,1,0,0,1,0,6,114,2123.9542363096,0,.21954264642931,0,1825,620,N/A,1,0,1,0,0,9,250,5,3,0,0,0,3,0,,9,,,0,.48468066320357,0,12,242.666666666667,336,48,96,344.444444444444,900,511.111111111111,850,,,,,,,,,40,1420,182,24.0004901152718,5,0,,1642,29,5,2,1,0,2,2,2,26.4650283553875,25,0,No VAT,No VAT,207.5,37.7142857142857,19,275,36.07934770161095,0,0,36.0793477016109
AFG,Afghanistan,South Asia,Low income,2017,0,1,1,,0,0,0,3,,5,3,2,0,0,1,4,8,19.9049537392302,5,9,19.9049537392302,13,199,66.0325951503855,2.5,.5,1,0,0,1,0,6,114,2274.71986279716,0,.20946338546145,0,..,..,N/A,1,0,0,0,0,9,250,5,3,0,0,0,3,0,,9,,,0,.77302605109058,0,13,228,324,48,96,344.444444444444,900,452.777777777778,750,,,,,,,,,40,1420,182,24.0004901152718,5,0,,1642,29,5,2,1,0,2,2,2,26.4650283553875,25,0,No VAT,No VAT,207.5,37.7142857142857,19,275,47.86430719508645,0,0,47.8643071950865
AFG,Afghanistan,South Asia,Low income,2018,0,1,1,,0,0,0,3,,5,3,2,0,0,1,4,8,82.30624004190361,5,9,82.30624004190361,13,199,71.70604833800959,2.5,.5,1,0,0,1,0,6,114,2426.74045442353,0,.1864889497285,0,..,..,N/A,1,0,0,0,0,9,250,5,3,0,0,0,3,0,,9,,,0,.98430175842637,0,13,228,324,48,96,344.444444444444,900,452.777777777778,750,,,,,,,,,40,1420,182,24.0004901152718,5,0,,1642,29,5,2,1,0,2,2,2,26.4650283553875,25,0,No VAT,No VAT,207.5,37.7142857142857,19,275,71.43422618203753,0,0,71.43422618203751
AFG,Afghanistan,South Asia,Low income,2019,0,8,1,,0,0,0,9,,18,12,2,6,2,2,4,8,6.41275282722084,5,9,6.41275282722084,13,199,72.95500414756469,3,1,1,0,0,1,0,6,114,2448.34543415105,0,.17574716735307,0,..,..,N/A,1,0,0,0,0,9,250,5,3,0,0,0,3,0,,10,,,0,1.28056417806558,0,13,228,324,48,96,344.444444444444,900,452.777777777778,750,,,,,,,,,40,1420,182,24.0004901152718,5,0,,1642,29,5,2,1,0,2,2,2,26.5403648394086,25,0,No VAT,No VAT,111,29.1428571428571,19,270,71.43422618203753,0,0,71.43422618203751
AFG,Afghanistan,South Asia,Low income,2020,0,8,1,,0,0,0,9,,18,12,2,6,2,2,4,8,6.81380792370876,5,9,6.81380792370876,13,199,75.61178717586181,3,1,1,0,0,1,0,6,114,2546.3569057366,0,.1801862113897,0,..,..,N/A,1,0,0,0,1,9,250,5,3,0,0,0,3,0,,10,,,0,1.47554049045512,0,13,228,324,48,96,344.444444444444,900,452.777777777778,750,,,,,,,,,40,1420,182,24.0004901152718,5,0,,1642,29,5,2,1,0,2,2,2,26.6966686371351,25,0,No VAT,No VAT,111,33.1428571428571,19,270,71.43422618203753,0,0,71.43422618203751
AGO,Angola,Sub-Saharan Africa,Lower middle income,2004,949.8498219764061,,,,,,,,,,0,2,4,0,0,12,83,1316.40217562329,12,83,1316.40217562329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,1011,44.4,,,,,,No Practice,No Practice,0,No Practice,0,,,,,,,,,,
AGO,Angola,Sub-Saharan Africa,Lower middle income,2005,495.561929657104,,,,,,,,,,0,2,4,0,0,12,83,909.985626041817,12,83,909.985626041817,,,,,,,,,,,,,,,,,,,,,,,,,6,335,11.6671638960946,,,,,,,3,,3,0,,1.8,0,,,,,,,,,,,,,,,,,,,,,,,,46,1011,44.4,,,,,,No Practice,No Practice,0,No Practice,0,,,,,,,,,,
AGO,Angola,Sub-Saharan Africa,Lower middle income,2006,100.104823840199,4,6,6,,,,,16,,0,2,4,0,0,12,83,653.7832101623879,12,83,653.7832101623879,14,373,6.06854372957588,,,,,,,,,,,,,,,,,,,,,,6,335,11.5500887218088,,,,,,,3,,3,0,,2.9,0,,,,,,,,,,10,8,1650,4921.31855545879,64,1950,5816.10374736038,58,,,,,,,46,1011,44.4,,,,,,No Practice,No Practice,0,No Practice,No Practice,,,,,32,284,52.23925699668293,25.233188507953,9.02391184071841,17.9821566480115
AGO,Angola,Sub-Saharan Africa,Lower middle income,2007,74.0740740740742,4,6,6,,,,,16,,0,2,4,0,0,12,83,498.225222103902,12,83,498.225222103902,14,293,4.49051066167343,,,,,,,,,,,,,,,,,,,,,,6,335,11.5110603908406,,,,,,,3,,3,0,,2.9,0,,,,,,,,,,10,8,1650,3880.66371109047,64,1950,4586.23893128873,58,,,,,,,46,1011,44.4,,,,,,No Practice,No Practice,0,No Practice,0,,,,,32,284,52.23925699668293,25.233188507953,9.02391184071841,17.9821566480115
AGO,Angola,Sub-Saharan Africa,Lower middle income,2008,50.5050505050505,4,6,6,,,,,16,,0,2,4,0,0,12,83,343.722723030253,12,83,343.722723030253,14,293,4.02064143772608,,,,,,,,,,,,,,,,,,,,,,6,335,11.4993773900366,,,,,,,3,,3,0,,2.3,0,,,,,,,,,,10,8,1650,3432.96562457088,64,1950,4057.14119267468,58,,,,,,,46,1011,44.4,,,,,,No Practice,No Practice,0,No Practice,0,,,,,32,284,52.23925699668293,25.233188507953,9.02391184071841,17.9821566480115
AGO,Angola,Sub-Saharan Africa,Lower middle income,2009,39.0625,4,6,6,,,,,16,,0,2,4,0,0,8,68,196.789035566116,8,68,196.789035566116,12,283,3.01111906126157,,,,,,,,,,,,,,,,,,,,,,6,335,11.9932844730569,,,,,,,3,,3,0,,2.7,0,,,,,,,,,,10,8,2050,3787.3679270904,68,2950,5450.11482191057,62,,,,,,,46,1190,44.4,,,,,,No Practice,No Practice,0,No Practice,0,,,,,32,284,52.23925699668293,25.233188507953,9.02391184071841,17.9821566480115
AGO,Angola,Sub-Saharan Africa,Lower middle income,2010,29.0128053503854,4,6,6,,,,,16,,0,2,4,0,0,8,68,151.128339126016,8,68,151.128339126016,12,275,2.16549106447753,,,,,,,,9,159,1097.95536341376,,,,,,,,,,,,6,190,11.742418816754,,,,,,,3,,3,0,,2.5,0,,,,,,,,,,9,8,2050,3164.53742181277,65,2865,4422.63400658224,59,,,,,,,46,1250,44.4,,,,,,No Practice,No Practice,0,No Practice,0,,,,,32,284,52.23925699668293,25.233188507953,9.02391184071841,17.9821566480115
AGO,Angola,Sub-Saharan Africa,Lower middle income,2011,28.6532951289398,4,6,6,,,,,16,,0,2,4,0,0,8,66,226.60629927731,8,66,226.60629927731,12,214,2.51560310642224,,,,,,,,9,159,1276.6185160861,,,,,,,,,,,,6,190,11.8462837402381,,,,,,,3,,3,0,,2.4,0,,,,,,,,,,9,8,2050,3418.11936739781,52,2865,4777.03023785109,49,,,,,,,46,1296,44.4,,,,,,No Practice,No Practice,0,No Practice,0,,,,,32,294,52.23925699668293,25.233188507953,9.02391184071841,17.9821566480115
AGO,Angola,Sub-Saharan Africa,Lower middle income,2012,25.2525252525253,4,6,6,,,,,16,,0,2,4,0,0,8,66,163.14986212824,8,66,163.149862128241,12,214,2.32882273820488,,,,,,,,9,159,888.525968613295,,,,,,,,,,,,6,190,3.18459338335091,,,,,,,3,,4,0,,1.8,0,,,,,,,,,,9,8,2050,2792.7214866542,48,2715,3698.65309086153,45,86,770,440,22.200029541896,22.200029541896,0,46,1296,44.4,,,,,,No Practice,No Practice,0,No Practice,No Practice,,,,,32,294,52.26321952836564,25.2157681132572,9.02391184071841,18.02353957439
AGO,Angola,Sub-Saharan Africa,Lower middle income,2013,24.6305418719212,4,6,6,,,,,16,,0,2,4,0,0,8,66,143.084917036944,8,66,143.084917036944,12,214,1.98564450935411,,,,,,,,7,145,755.7526899512191,,,,,,,,,,,,6,190,.57992544818182,,,,,,,3,,4,0,,1.8307874161,0,,,,,,,,,,9,8,2050,2249.16095324927,48,2715,2978.76682344964,45,86,770,440,22.2,22.2,0,46,1296,44.4,,,,,,No Practice,No Practice,0,No Practice,No Practice,,,,,32,294,52.26321952836564,25.2157681132572,9.02391184071841,18.02353957439
AGO,Angola,Sub-Saharan Africa,Lower middle income,2014,21.8340611353712,4,6,6,0,0,0,6,16,16,0,2,4,0,0,8,66,130.059612227789,8,66,130.059612227789,12,214,1.81479675965109,,,,,,,,7,145,690.4545838678689,,,,,,,,,,,,6,190,3.03403494440156,,,,,,,3,1,,0,0,2.35412269618,0,,,,,,,,,,10,9,2060,2166.95892560914,40,2725,2866.48692829365,43,86,770,440,22.2,22.2,.0001063025281,46,1296,44.4,,,,,,No Practice,0,0,No Practice,No Practice,,,,,32,294,52.59559040072961,25.2587623858451,9.02391184071841,18.3129161741661
AGO,Angola,Sub-Saharan Africa,Lower middle income,2015,19.9600798403194,4,6,,0,0,0,6,,16,0,2,4,0,0,8,66,118.829008722391,8,66,118.829008722391,12,214,1.73703837983822,6,1,1,0,2,1,1,7,145,660.698445541633,0,.04710149689247,0,..,..,N/A,0,0,1,1,0,6,190,3.0025838368882,,,,,,,,1,,,0,1.754909670541,0,10,169,180,312,276,240,460,825,1030,10,9,2060,2060,40,2725,2725,43,86,770,440,22.2,22.2,.0001063025281,46,1296,44.4,,,,,,No Practice,0,0,No Practice,No Practice,,,,,32,294,52.59559040072961,25.2587623858451,9.02391184071841,18.3129161741661
AGO,Angola,Sub-Saharan Africa,Lower middle income,2016,18.8679245283019,4,6,,0,0,0,6,,16,0,2,4,0,0,8,36,17.0049714912153,8,36,17.0049714912153,12,214,1.61842259453343,6,1,1,0,2,1,1,7,145,615.664759153186,0,.04642536978649,0,..,..,N/A,0,0,1,1,0,6,190,2.95460704229215,7,1,2,0,4,0,,1,,,0,3.28311004727154,0,10,169,180,312,276,240,460,825,1030,,,,,,,,,86,770,440,22.2,22.2,.0001063025281,,1296,44.4,5,1.5,1.5,0,2,No Practice,0,0,No Practice,No Practice,No VAT,No VAT,7,0,32,294,48.98719577418031,21.6503677592958,9.02391184071841,18.3129161741661
AGO,Angola,Sub-Saharan Africa,Lower middle income,2017,0,4,6,,0,0,0,6,,16,0,2,4,0,0,7,36,20.7233157230582,7,36,20.7233157230582,12,214,1.97723126413855,6,1,1,0,2,1,1,7,145,1196.5024631359,0,.08831507040676,0,..,..,15,0,0,1,1,0,6,190,3.0997351953174,7,1,2,0,4,0,,1,,,0,1.88789679758422,0,10,169,180,312,276,240,460,825,1030,,,,,,,,,86,770,440,22.2,22.2,.0001063025281,,1296,44.4,5,1.5,1.5,0,2,No Practice,0,0,No Practice,No Practice,No VAT,No VAT,7,0,31,287,47.97032212645762,20.3775921340005,9.02391184071841,18.5688181517387
AGO,Angola,Sub-Saharan Africa,Lower middle income,2018,0,4,6,,0,0,0,6,,16,0,2,4,0,0,8,36,17.3527297358817,8,36,17.3527297358817,12,184,1.63611554660356,6,1,1,0,2,1,1,7,121,989.908549152782,0,.06014139295824,0,5.16,2.3,15,0,0,1,1,0,6,190,2.96176335057848,7,1,2,0,4,0,,1,,,0,1.90331773108217,0,10,169,180,192,96,240,460,825,1030,,,,,,,,,86,770,440,22.2,22.2,.0001063025281,,1296,44.4,5.5,1.5,1.5,0,2.5,No Practice,0,0,No Practice,0,No VAT,No VAT,7,0,31,287,49.12760241121181,21.5348724187547,9.02391184071841,18.5688181517387
AGO,Angola,Sub-Saharan Africa,Lower middle income,2019,0,4,6,,0,0,0,6,,16,0,2,4,0,0,8,36,13.9260732562438,8,36,13.9260732562438,12,184,1.29995696672652,6,1,1,0,2,1,1,7,121,786.533699195567,3,.04625666076049,1,.9,5.5,3,0,0,1,1,0,6,190,2.82579653050459,7,1,2,0,4,0,,1,,,0,1.61572882653898,0,10,96,96,164,72,240,460,825,1030,,,,,,,,,86,770,440,22.2,22.2,.0001063025281,,1296,44.4,5.5,1.5,1.5,0,2.5,No Practice,0,0,No Practice,0,No VAT,No VAT,7,0,31,287,49.13474320584145,21.5318120781991,9.02391184071841,18.5790192869239
AGO,Angola,Sub-Saharan Africa,Lower middle income,2020,0,4,6,,0,0,0,6,,16,0,2,4,0,0,8,36,11.085500223691,8,36,11.085500223691,12,184,1.02942476481042,6,1,1,0,2,1,1,7,97,623.2526096944431,2,.03707025568402,0,12.79,8.5,3,0,0,1,1,0,6,190,2.71637375975285,7,1,2,0,4,0,,1,,,0,1.53900562335965,0,10,96,96,164,72,240,460,825,1030,,,,,,,,,86,770,440,22.2,22.2,.0001063025281,,1296,44.4,5.5,1.5,1.5,0,2.5,No Practice,0,0,No Practice,0,No VAT,No VAT,7,0,31,287,49.13474320584145,21.5318120781991,9.02391184071841,18.5790192869239
ALB,Albania,Europe & Central Asia,Upper middle income,2004,45.2859370361298,,,,,,,,,,14,3,6,3,2,12,41,57.0874522277452,12,41,57.0874522277452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,450,38.7,,,,,,2,2,37.6106976859642,10,0,,,,,,,,,,
ALB,Albania,Europe & Central Asia,Upper middle income,2005,41.2684581452802,,,,,,,,,,14,3,6,3,2,12,40,32.3379638026416,12,40,32.3379638026416,,,,,,,,,,,,,,,,,,,,,,,,,6,42,17.9075462189705,,,,,,,9,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,39,450,38.7,,,,,,2,2,38.2917795154128,10,0,,,,,,,,,,
ALB,Albania,Europe & Central Asia,Upper middle income,2006,39.9027860524663,0,5,3,,,,,8,,14,3,6,3,2,12,41,31.2678231507126,12,41,31.2678231507126,24,390,4.60251397862963,,,,,,,,,,,,,,,,,,,,,,6,42,17.3590212822408,,,,,,,9,,0,0,,0,0,,,,,,,,,,7,8,818,1019.35401865991,21,820,1021.84632677399,22,,,,,,,39,450,38.7,,,,,,2,2,40.0310717976808,10,0,,,,,45,364,58.56420975705434,20.0555821864561,34.6292616887569,3.87936588184134
ALB,Albania,Europe & Central Asia,Upper middle income,2007,36.7192283414604,0,4,3,,,,,7,,14,3,6,3,2,12,39,22.5309185103201,12,39,22.53091851032,24,390,10.327167081025,,,,,,,,,,,,,,,,,,,,,,6,42,16.153977352641,,,,,,,9,,0,0,,0,0,,,,,,,,,,7,8,818,985.175398556441,21,820,987.5841403622019,22,,,,,,,39,450,38.7,,,,,,2,2,39.101948978776,10,0,,,,,44,364,56.87408172764801,18.4767287732704,34.6292616887569,3.76809126562071
ALB,Albania,Europe & Central Asia,Upper middle income,2008,34.3060592294936,0,4,3,,,,,7,,14,3,6,3,2,11,37,46.134788451823,11,37,46.134788451823,24,389,4.44787641651091,,,,,,,,,,,,,,,,,,,,,,6,42,15.2237851208967,,,,,,,9,,0,0,,0,0,,,,,,,,,,7,8,745,879.7047970479699,21,750,885.608856088561,22,,,,,,,39,450,38.7,,,,,,2,2,36.7767123972827,10,0,,,,,44,364,46.34357328123356,17.7952069146191,24.4773608679487,4.07100549866576
ALB,Albania,Europe & Central Asia,Upper middle income,2009,0,7,7,7,,,,,21,,14,3,6,3,2,8,10,42.5301780750712,8,10,42.5301780750712,24,389,4.41332653068565,,,,,,,,,,,,,,,,,,,,,,6,42,14.4323578337992,,,,,,,9,,5,5,,6.8,0,,,,,,,,,,7,8,770,891.18616879066,21,775,896.973091964626,22,,,,,,,39,450,38.7,,,,,,2,2,38.7098232928835,10,0,,,,,44,368,49.97237623056818,16.8384895407582,28.6363284956318,4.49755819417818
ALB,Albania,Europe & Central Asia,Upper middle income,2010,0,7,7,7,,,,,21,,14,3,6,3,2,6,6,32.1839172371479,6,6,32.183917237148,24,389,4.31056003886006,,,,,,,,6,177,614.53621431877,,,,,,,,,,,,6,42,13.0583082373917,,,,,,,9,,5,5,,9.9,0,,,,,,,,,,7,8,725,804.0403861168289,19,710,787.4050677833769,18,,,,,,,39,450,38.7,,,,,,2,2,38.7098232928835,10,0,,,,,44,368,43.95728810121918,8.080652346949829,31.8789742976941,3.99766145657525
ALB,Albania,Europe & Central Asia,Upper middle income,2011,0,7,7,7,,,,,21,,14,3,6,3,2,6,6,31.7892440460251,6,6,31.7892440460251,24,389,4.30062009541637,,,,,,,,6,177,614.945859384574,,,,,,,,,,,,6,42,13.9224821201692,,,,,,,9,,5,5,,12.3,0,,,,,,,,,,7,8,725,785.1121085945409,19,710,768.868409796033,18,,,,,,,39,450,35.7,,,,,,2,2,38.915888948841,10,0,,,,,44,360,40.60854023808129,8.529437958060059,27.2713537292818,4.80774855073944
ALB,Albania,Europe & Central Asia,Upper middle income,2012,0,7,7,7,,,,,21,,14,3,6,3,2,6,6,29.3072714905017,6,6,29.3072714905017,No Practice,No Practice,No Practice,,,,,,,,6,177,585.614428310752,,,,,,,,,,,,6,33,11.9705747287435,,,,,,,9,,5,5,,17,0,,,,,,,,,,7,8,745,779.7952435630259,19,730,764.0946681892739,18,30,180,240,21.6000176701757,9.89994828185762,4.20006506547593,39,450,35.7,,,,,,2,2,40.2179814595105,10,0,,,,,44,371,38.66129338818839,8.78978717726587,25.0328480445663,4.83865816635628
ALB,Albania,Europe & Central Asia,Upper middle income,2013,0,7,7,7,,,,,21,,14,3,6,3,2,5,5,22.3714401197802,5,5,22.3714401197802,No Practice,No Practice,No Practice,,,,,,,,6,177,573.7025299628809,,,,,,,,,,,,6,33,11.4380467246557,,,,,,,9,,5,5,,19.681373503,0,,,,,,,,,,7,8,745,757.0822760433761,19,730,741.8390087404889,18,40,230,180,21.6,9.9,3.1,39,450,34.6,,,,,,2,2,39.5539053742264,10,0,,,,,44,357,38.84086483514525,8.676988279256889,25.3252183895321,4.83865816635628
